custid,region,townsize,gender,age,agecat,birthmonth,bday,byear,ed,edcat,jobcat,union,employ,income,empcat,retire,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,bmnth
3964-QJWTRG-NPN,1,2,1,20,2,September,13,48,15,3,1,1,0,31,1,0,3.43398720448515,2,11.1,1.200909,0.183078770035633,2.240091,0.806516490041775,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,14.3,1,0,0,8,4,22,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,2,5,3,1,0,3,2,5,81.66,4,67.8,0,3,5,1,6.5,1.87180217690159,34.4,3.53805656437935,1,29,3.36729582998647,161.05,5.08171487577721,1,29.5,3.38439026334577,126.1,4.83707524297087,1,14.25,2.65675690671466,60,4.0943445622221,0,0,#NULL!,0,#NULL!,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0,9
0648-AIPJSP-UVM,5,5,0,22,2,May,18,61,17,4,2,0,0,15,1,0,2.70805020110221,1,18.6,1.22202,0.200505227227583,1.56798,0.449788166744828,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,2,1,2,1,1,6.8,1,0,0,1,1,29,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,2,4,1,3,0,4,2,5,42.6,2,34.94,1,1,39,0,8.9,2.18605127673809,330.6,5.80090918538692,0,0,#NULL!,0,#NULL!,1,54.85,4.00460218672124,1975,7.58832367733522,1,16,2.77258872223978,610,6.41345895716736,1,45.65,3.82100360704098,1683.55,7.42865993818979,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0,5
5195-TLUDJE-HVO,3,4,1,67,6,June,13,55,14,2,2,0,16,35,5,0,3.55534806148941,2,9.9,0.92862,-0.0740556658294137,2.53638,0.930737867621041,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,30,5,3,1,1,18.8,1,0,1,4,3,24,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,5,4,1,3,0,25,5,9,184.22,7,175.75,0,3,65,0,28.4,3.34638914516716,1858.35,7.52744427622986,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,1,23,3.13549421592915,1410,7.25134498337221,0,0,#NULL!,0,#NULL!,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0,6
4459-VLPQUH-3OL,4,3,0,23,2,May,18,44,16,3,2,0,0,20,1,0,2.99573227355399,1,5.7,0.0228,-3.78099474302174,1.1172,0.110825555088885,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,3,2,3,1,1,8.7,1,0,1,1,1,38,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,2,3,2,4,0,5,2,17,340.99,1,18.42,1,1,36,0,6,1.79175946922806,199.45,5.29556357835142,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,1,21,3.04452243772342,685,6.52941883826223,0,0,#NULL!,0,#NULL!,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0,5
8158-SMTQFB-CNO,2,2,0,26,3,July,10,42,16,3,2,0,1,23,1,0,3.13549421592915,1,1.7,0.214659,-1.53870455646938,0.176341,-1.73533565847623,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,3,2,1,0,1,10.6,1,0,1,6,3,32,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,3,1,3,2,0,9,3,8,255.1,7,252.73,1,3,21,0,3.05,1.11514159061932,74.1,4.30541553230204,1,16.5,2.80336038090653,387.7,5.96023184467688,0,0,#NULL!,0,#NULL!,1,17.25,2.84781214347737,360,5.88610403145016,1,19.05,2.94706710157271,410.8,6.0181064780544,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0,7
9662-FUSYIM-1IV,4,4,0,64,5,August,16,51,17,4,3,0,22,107,5,0,4.67282883446191,4,5.6,1.060584,0.0588196998066104,4.931416,1.59562616790985,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,31,5,0,-1,-1,-1,-1,-1,0,8,4,23,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,5,3,3,2,1,9,3,11,228.27,0,0,0,3,28,0,8.1,2.09186406167839,264.9,5.57935239627802,1,26.75,3.28653447334202,726.6,6.5883761197871,1,35.5,3.56953269648137,970.95,6.87827497365963,1,28.25,3.34109345759245,765,6.63987583382654,0,0,#NULL!,0,#NULL!,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0,8
7432-QKQFJJ-K72,2,5,1,52,5,July,17,51,14,2,1,0,10,77,3,0,4.34380542185368,4,1.9,0.501809,-0.68953570977821,0.961191,-0.0395821384595394,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,21,4,2,1,0,25.6,2,1,0,4,3,32,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,2,3,4,0,2,2,20,822.32,5,130.14,0,2,15,0,3.8,1.33500106673234,44.8,3.80220813942094,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0,7
8959-RZWRHU-ST8,3,4,1,44,4,October,17,48,16,3,1,0,11,97,4,0,4.57471097850338,4,14.4,5.950368,1.78345306638448,8.017632,2.08164311643468,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,20,4,1,1,0,55.5,3,0,1,5,3,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,5,3,1,4,0,20,5,6,592.7,7,712.1,0,3,46,0,14.85,2.69799986524871,612.7,6.41787541973161,1,24,3.17805383034795,1110.4,7.01247558975254,0,0,#NULL!,0,#NULL!,1,14.5,2.67414864942653,630,6.44571981938558,0,0,#NULL!,0,#NULL!,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0,10
9124-DZALHM-S6I,2,3,1,66,6,October,13,43,12,2,1,0,15,16,4,1,2.77258872223978,1,2.6,0.102336,-2.27949376177065,0.313664,-1.15943292969505,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,21,4,1,1,1,8.6,1,0,0,4,3,25,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,5,2,4,3,0,17,5,12,326.59,6,141.24,1,3,53,0,21.05,3.04690056012839,1074.35,6.97947110652374,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,1,15.5,2.7408400239252,830,6.72142570079064,0,0,#NULL!,0,#NULL!,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0,10
3512-MUWBGY-52X,2,2,0,47,4,July,13,46,11,1,6,0,19,84,5,0,4.43081679884331,4,4.1,0.102336,0.571101573038512,1.673784,0.515086931483841,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,19,4,4,1,0,41,3,1,0,1,1,29,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,2,1,0,2,2,11,199.64,5,111.17,1,3,3,1,3.65,1.2947271675944,20.05,2.99822915375258,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0,7
5621-QSZPSF-NF2,4,1,1,59,5,July,17,49,19,4,1,0,8,47,3,0,3.85014760171006,2,8.6,1.358112,0.306095499962496,2.683888,0.987266489475726,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,2,14,3,3,1,0,28,2,0,1,1,1,17,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,16,5,1,1,4,0,17,5,11,488.97,7,322.07,0,3,50,1,8.55,2.14593128294867,446.55,6.1015513761299,0,0,#NULL!,0,#NULL!,1,31.2,3.44041809481544,1568.35,7.35777939028747,1,19,2.94443897916644,930,6.8351845861473,0,0,#NULL!,0,#NULL!,1,0,0,3,0,1,0,0,1,1,26,1,1,1,0,1,1,0,0,0,0,0,0,7
8241-PWPONH-62O,2,4,1,33,3,October,12,50,8,1,2,0,4,19,2,0,2.94443897916644,1,0.9,0.130131,-2.03921364359993,0.040869,-3.1973834495301,0,4,1,9,1,5,6,0,0,0,0,0,0,6,0,2,5,2,2,1,1,9.3,1,0,1,4,3,28,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3,2,1,0,6,3,2,2,3,0,2,2,14,338.26,2,55.17,0,3,9,1,3.6,1.28093384546206,37,3.61091791264422,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,0,0,0,0,0,10
8795-FYOXCT-P09,5,2,0,44,4,March,14,47,10,1,1,0,12,73,4,0,4.29045944114839,3,2.8,1.250928,0.223885675871647,0.793072,-0.231841267017406,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,3,9,3,1,1,1,38.5,2,0,1,1,1,25,1,0,0,0,0,0,0,0,0,0,9,4,1,0,1,4,4,1,1,1,1,1,3,1,0,1,1,12,534.36,5,198.39,0,3,5,0,6.75,1.90954250488444,29.9,3.39785848039664,0,0,#NULL!,0,#NULL!,0,0,#NULL!,0,#NULL!,1,7,1.94591014905531,30,3.40119738166216,0,0,#NULL!,0,#NULL!,0,0,0,1,1,1,1,1,0,1,21,1,0,1,0,1,0,0,0,0,0,0,0,3
1705-NMIQNO-IC4,3,2,0,58,5,January,12,50,18,4,1,0,3,63,2,0,4.14313472639153,3,10.5,1.924965,0.654907785756274,4.690035,1.54544004511691,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,32,5,0,-1,-1,-1,-1,-1,0,3,2,16,0,0,1,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,25,5,3,4,1,0,17,5,10,593.5,5,384.94,1,1,58,0,12.1,2.4932054526027,680.75,6.52319513155387,1,30.75,3.42588999425253,1776.7,7.48251299004186,0,0,#NULL!,0,#NULL!,1,24.5,3.19867311755068,1415,7.25488481007734,0,0,#NULL!,0,#NULL!,1,0,0,0,1,0,1,1,0,1,21,1,1,1,0,1,0,0,0,1,0,0,0,1
9205-PAZEXY-90Q,2,1,1,72,6,December,17,46,20,5,4,1,27,17,5,1,2.83321334405622,1,9.8,1.276156,0.243852434503105,0.389844,-0.942008619879784,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,14,3,1,1,1,9.3,1,0,0,10,5,32,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,3,2,2,0,33,5,4,4,3,1,26,5,12,233.17,3,39.93,1,3,67,0,13.9,2.63188884013665,954.05,6.86071608097635,0,0,#NULL!,0,#NULL!,1,38.55,3.65195610000934,2580.75,7.8558353333457,1,23.25,3.14630513203337,1525,7.32974968904151,0,0,#NULL!,0,#NULL!,1,0,0,0,0,0,1,0,1,1,24,1,1,1,0,1,0,1,1,1,0,0,0,12
4225-PZZDIY-IBH,3,1,1,66,6,December,15,46,13,2,6,1,31,23,5,1,3.13549421592915,1,9.3,0.934743,-0.0674836537862783,1.204257,0.185862779257822,0,5,1,12,2,2,9,3,0,0,0,0,0,6,0,2,29,5,3,1,0,11.6,1,0,1,1,1,14,1,0,0,0,1,0,0,1,0,0,2,2,1,1,1,3,3,4,0,40,5,4,2,1,0,30,5,9,297.47,4,98.65,0,2,72,0,38.7,3.65583960003574,2854.9,7.95679209520697,1,27,3.29583686600433,1919,7.5595594960077,0,0,#NULL!,0,#NULL!,1,68.5,4.22683374526818,4865,8.4898219946201,1,43.25,3.76699723337789,3159.25,8.05808993663879,1,1,1,1,1,1,1,1,0,1,22,1,1,1,0,1,0,0,1,1,0,0,1,12
